,Team_ID,Team_Name
0,1,Adrian
1,2,Albertus Magnus
2,3,Albion
3,4,Albright
4,5,Alfred
5,6,Alfred St
6,7,Allegheny
7,8,Alma
8,9,Alvernia
9,10,Amherst
10,11,Anderson IN
11,12,Anna Maria
12,13,Arcadia
13,14,Asbury
14,15,Augsburg
15,16,Augustana IL
16,17,Aurora
17,18,Austin Col
18,19,Averett
19,20,Babson
20,21,Baldwin-Wallace
21,22,Bard
22,23,Baruch
23,24,Bates
24,25,Belhaven MS
25,26,Beloit
26,27,Benedictine IL
27,28,Berea
28,29,Berry
29,30,Bethany Luth
30,31,Bethany WV
31,32,Bethel MN
32,33,Blackburn
33,34,Bluffton
34,35,Bowdoin
35,36,Brandeis
36,37,Brevard
37,38,Bridgewater MA
38,39,Bridgewater VA
39,40,Brockport St
40,41,Brooklyn Col
41,42,Buena Vista
42,43,Buffalo St
43,44,Cairn
44,45,Cal Lutheran
45,46,Caltech
46,47,Calvin
47,48,Capital
48,49,Carleton MN
49,50,Carlow
50,51,Carnegie Mellon
51,52,Carroll WI
52,53,Carthage
53,54,Case Western
54,55,Castleton
55,56,Catholic
56,57,Centenary
57,58,Centenary NJ
58,59,Central IA
59,60,Centre
60,61,Chapman
61,62,Chatham
62,63,Chicago
63,64,Chris Newport
64,65,City Col NY
65,66,Claremont M.S.
66,67,Clark MA
67,68,Clarkson
68,69,Coast Guard
69,70,Coe
70,71,Colby
71,72,Colby-Sawyer
72,73,College of NJ
73,74,Colorado Col
74,75,Concordia IL
75,76,Concordia Mhd
76,77,Concordia TX
77,78,Concordia WI
78,79,Cornell IA
79,80,Cortland St
80,81,Covenant
81,82,Crown MN
82,83,CT College
83,84,Curry
84,85,Dallas Univ
85,86,Dean
86,87,Delaware Val
87,88,Denison
88,89,DePauw
89,90,DeSales
90,91,Dickinson
91,92,Dominican IL
92,93,Drew
93,94,Dubuque
94,95,E Connecticut
95,96,E Mennonite
96,97,E Texas Bap
97,98,Earlham
98,99,Eastern Univ
99,100,Edgewood
100,101,Elizabethtown
101,102,Elmhurst
102,103,Elmira
103,104,Elms
104,105,Emerson
105,106,Emmanuel MA
106,107,Emory
107,108,Endicott
108,109,Eureka
109,110,Farmingdale
110,111,FDU Madison
111,112,Fitchburg St
112,113,Framingham St
113,114,Franciscan OH
114,115,Frank & Marsh
115,116,Franklin
116,117,Gallaudet
117,118,Geneseo St
118,119,Geneva
