massey_id,ncaa_id
1,4
2,2798
3,15
4,16
5,18
6,30170
7,19
8,21
9,938
10,24
11,939
12,26
13,966
14,30243
15,38
16,40
17,42
18,953
19,44
20,45
21,46
22,962
23,58
24,50
25,30197
26,53
27,296
28,30171
29,973
30,30038
31,59
32,60
33,64
34,987
35,69
36,73
37,30094
38,76
39,75
40,78
41,79
42,84
43,85
44,1305
45,105
46,89
47,114
48,117
49,118
50,30253
51,119
52,120
53,121
54,122
55,123
56,124
57,125
58,12884
59,126
60,132
61,134
62,10972
63,137
64,139
65,480
66,142
67,145
68,146
69,722
70,150
71,151
72,152
73,712
74,154
75,160
76,161
77,24400
78,1036
79,166
80,168
81,30111
82,30035
83,163
84,170
85,1044
86,30219
87,179
88,182
89,177
90,20
91,185
92,1332
93,190
94,192
95,200
96,203
97,1062
98,195
99,8968
100,1066
101,211
102,212
103,213
104,532
105,214
106,215
107,217
108,8981
109,218
110,27892
111,221
112,227
113,238
114,30069
115,239
116,2694
117,245
118,247
119,30084
120,1094
121,258
122,1099
123,1467
124,263
125,1111
126,264
127,265
128,1112
129,266
130,12399
131,267
132,268
133,269
134,1115
135,271
136,272
137,273
138,276
139,278
140,1124
141,8398
142,281
143,30073
144,8404
145,286
146,30160
147,2741
148,292
149,1130
150,1133
151,30172
152,300
153,297
154,303
155,313
156,30245
157,22626
158,320
159,321
160,322
161,325
162,326
163,329
164,330
165,335
166,1159
167,30047
168,336
169,337
170,1163
171,341
172,1162
173,344
174,1164
175,30085
176,8486
177,348
178,8490
179,351
180,279
181,24317
182,22235
183,1179
184,364
185,372
186,373
187,374
188,22989
189,1203
190,401
191,486
192,656
193,376
194,1192
195,382
196,1194
197,1196
198,385
199,8597
200,389
201,390
202,394
203,396
204,397
205,773
206,8530
207,379
208,378
209,30040
210,403
211,724
212,411
213,412
214,420
215,424
216,426
217,20220
218,16142
219,398
220,30042
221,1226
222,438
223,442
224,443
225,30067
226,431
227,30036
228,8567
229,1468
230,451
231,452
232,453
233,455
234,492
235,30039
236,467
237,461
238,491
239,462
240,1254
241,484
242,319
243,496
244,30031
245,511
246,8600
247,324
248,30065
249,479
250,515
251,516
252,2713
253,517
254,520
255,524
256,525
257,530
258,531
259,1297
260,2751
261,17094
262,30190
263,542
264,21830
265,1315
266,11839
267,547
268,548
269,549
270,2715
271,555
272,30114
273,25719
274,538
275,30044
276,30189
277,30081
278,557
279,30029
280,681
281,564
282,566
283,565
284,567
285,30264
286,569
287,570
288,573
289,571
290,577
291,18422
292,578
293,581
294,580
295,582
296,583
297,585
298,15882
299,259
300,11036
301,588
302,589
303,662
304,30164
305,621
306,622
307,623
308,30163
309,1355
310,633
311,652
312,637
313,641
314,642
315,23260
316,673
317,9684
318,601
319,602
320,8687
321,1340
322,605
323,30072
324,607
325,611
326,612
327,614
328,615
329,618
330,2810
331,30064
332,679
333,21852
334,684
335,30165
336,30083
337,30225
338,242
339,478
340,475
341,526
342,9500
343,552
344,685
345,8746
346,686
347,707
348,2758
349,28749
350,30037
351,713
352,715
353,717
354,1400
355,1255
356,113
357,727
358,23008
359,730
360,733
361,745
362,30166
363,737
364,770
365,775
366,747
367,30236
368,750
369,751
370,752
371,753
372,755
373,1434
374,759
375,762
376,764
377,777
378,1450
379,1451
380,778
381,779
382,780
383,781
384,1454
385,793
386,795
387,8911
388,798
389,800
390,801
391,802
392,803
393,804
394,805
395,783
396,784
397,785
398,789
399,1461
400,12973
401,806
402,787
403,807
404,809
405,808
406,814
407,2730
408,815
