massey_id,ncaa_id
1,4
2,11324
3,2798
4,15
5,16
6,18
7,30170
8,19
9,21
10,938
11,28746
12,24
13,939
14,26
15,966
16,30243
17,38
18,40
19,42
20,953
21,44
22,45
23,46
24,962
25,58
26,50
27,30197
28,53
29,296
30,30171
31,973
32,30038
33,59
34,60
35,28593
36,64
37,987
39,69
40,73
41,30094
42,76
43,75
44,78
45,79
46,30188
47,82
48,84
49,85
50,1305
51,105
52,89
53,114
54,117
56,119
57,120
58,121
59,122
60,123
61,124
62,14795
63,125
64,12884
65,126
66,132
67,134
68,10972
69,137
70,139
71,480
72,142
73,145
74,146
75,722
76,150
77,151
78,152
79,712
80,154
81,160
82,161
83,24400
84,1036
85,166
86,168
87,30111
88,30035
89,163
90,170
91,1044
92,30219
93,1050
94,179
95,182
96,177
97,20
98,185
99,1332
100,190
101,192
102,200
103,203
104,1064
105,1062
106,195
107,8968
108,1066
109,211
110,212
111,213
112,532
113,214
114,215
115,217
116,8981
117,218
118,27892
119,221
120,225
121,227
122,11538
123,238
124,30069
125,239
126,2694
127,245
128,247
129,30084
130,1094
131,258
132,1099
133,1467
134,263
135,1111
136,264
137,265
138,1112
139,266
140,12399
141,267
142,268
143,1115
144,271
146,273
147,276
148,278
149,1124
150,8398
151,281
152,30073
153,284
154,8404
155,286
156,30160
157,2741
158,292
159,1130
160,1133
161,30172
162,300
163,297
164,303
165,313
166,22626
167,320
168,321
169,322
170,325
171,326
172,329
173,330
174,335
175,1159
176,30047
177,336
178,337
179,1163
180,341
181,1162
182,344
183,1164
184,30085
185,8486
186,348
187,8490
188,351
189,279
190,24317
191,22235
192,1179
193,364
194,372
195,373
196,374
198,1203
199,401
200,486
201,656
202,376
203,1192
204,382
205,1194
206,1196
207,385
208,8597
209,389
210,390
211,394
212,396
213,397
214,773
215,8530
216,379
217,378
218,30040
219,403
220,724
221,409
222,411
223,412
224,420
225,424
226,426
227,20220
228,16142
229,398
230,30042
231,1226
232,438
233,442
234,443
235,30067
236,431
237,30036
238,449
239,30033
240,8567
241,1468
242,451
243,452
244,453
245,455
246,492
247,30039
248,467
249,461
250,491
251,462
252,1254
253,484
254,319
255,496
256,1267
257,30031
258,511
259,8600
260,324
261,30065
262,479
263,515
264,516
265,2713
266,517
267,520
268,524
269,525
270,530
271,531
272,1297
273,2751
274,17094
275,30190
276,542
277,21830
278,1315
279,11839
280,547
281,548
282,549
283,2715
284,555
285,30114
286,25719
287,538
288,30044
289,30081
290,557
291,30029
292,681
293,564
294,566
295,565
296,567
297,569
298,570
299,573
300,571
301,577
302,18422
303,578
304,581
305,580
306,582
307,583
308,585
309,15882
310,259
311,11036
312,588
313,589
314,662
315,30164
316,621
317,30041
318,622
319,623
320,30163
321,1355
322,633
323,652
324,637
325,641
326,642
327,644
328,23260
329,673
330,595
331,597
332,9684
333,601
334,8687
335,1340
336,605
337,30072
338,607
339,8688
340,611
341,612
342,614
343,615
344,618
345,2810
346,30064
347,679
348,21852
349,684
350,1390
351,958
352,30165
353,30083
354,30225
355,242
356,475
357,526
358,552
360,685
361,8746
362,686
363,707
364,2758
365,28749
366,30037
367,713
368,23413
369,715
370,717
371,1400
372,1255
373,113
374,727
375,23008
376,730
377,23121
378,733
379,745
380,30166
381,737
382,770
383,775
384,30236
385,750
386,751
387,752
388,753
389,755
390,1434
391,759
392,760
393,761
394,762
395,764
396,14718
397,777
398,1450
399,1451
400,778
401,779
402,780
403,781
404,1454
405,793
406,795
407,8911
408,798
409,800
410,801
411,802
412,803
413,804
414,805
415,783
416,784
417,785
418,789
419,1461
420,12973
421,806
422,787
423,807
424,809
425,808
426,814
427,2730
428,815
