ncaa_id,display,massey,d3hoops,stats_ncaa,ncaa_manual,snyder,conference,region,gender
272,Hartford,Hartford,Hartford,Hartford,,Hartford,CNE,2,Coed
22989,Lyon,Lyon,Lyon,Lyon,,Lyon,SLIAC,8,Coed
225,Ferrum,Ferrum,Ferrum,Ferrum,Ferrum College,Ferrum,,,Coed
22626,Johnson & Wales (RI),J&W RI,JWU Providence,JWU (Providence),Johnson & Wales University (Providence),JWU Providence,CNE,2,Coed
26,Anna Maria,Anna Maria,Anna Maria,Anna Maria,Anna Maria College,Anna Maria,MASCAC,1,Coed
320,John Carroll,John Carroll,John Carroll,John Carroll,John Carroll University,John Carroll,NCAC,7,Coed
281,Hiram,Hiram,Hiram,Hiram,Hiram College,Hiram,PAC,7,Coed
8746,Southwestern,SW Univ TX,Southwestern,Southwestern (TX),Southwestern University (Texas),Southwestern,SAA,6,Coed
715,Trinity (TX),Trinity TX,Trinity (Texas),Trinity (TX),Trinity University (Texas),Trinity (Texas),SAA,6,Coed
8490,LeTourneau,Le Tourneau,LeTourneau,LeTourneau,LeTourneau University,LeTourneau,SCAC,10,Coed
1124,Hendrix,Hendrix,Hendrix,Hendrix,Hendrix College,Hendrix,SCAC,10,Coed
8530,McMurry,McMurry,McMurry,McMurry,McMurry University,McMurry,ASC,10,Coed
1355,Schreiner,Schreiner,Schreiner,Schreiner,Schreiner University,Schreiner,ASC,10,Coed
319,New Jersey City,NJ City,New Jersey City,New Jersey City,New Jersey City University,New Jersey City,NJAC,4,Coed
1254,Neumann,Neumann,Neumann,Neumann,Neumann University,Neumann,MACC,5,Coed
397,Marywood,Marywood,Marywood,Marywood,Marywood University,Marywood,MACF,4,Coed
372,Luther,Luther IA,Luther,Luther,Luther College,Luther,ARC,9,Coed
475,SUNY New Paltz,SUNY New Paltz,SUNY New Paltz,SUNY New Paltz,State University of New York at New Paltz,SUNY New Paltz,NJAC,4,Coed
396,Maryville,Maryville TN,Maryville (Tenn.),Maryville (TN),Maryville College (Tennessee),Maryville (Tenn.),SAA,6,Coed
28593,Birmingham So,Birmingham So,Birmingham-Southern,Birmingham-So.,Birmingham-Southern College,,,,Coed
88,Cabrini,Cabrini,Cabrini,Cabrini,Cabrini University,,,,Coed
23624,Cazenovia,Cazenovia,Cazenovia,Cazenovia,Cazenovia College,,,,Coed
958,Summit,Summit,Clarks Summit,Clarks Summit,Clarks Summit University,,,,Coed
1064,E Nazarene,E Nazarene,Eastern Nazarene,Eastern Nazarene,Eastern Nazarene College,,,,Coed
30032,Finlandia,Finlandia,Finlandia,Finlandia,Finlandia University,,,,Coed
11538,Fontbonne,Fontbonne,Fontbonne,Fontbonne,Fontbonne University,,,,Coed
23725,Medaille,Medaille,Medaille,Medaille,Medaille College,,,,Coed
1267,Northland,Northland,Northland,Northland,Northland College,,,,Coed
761,Wells,Wells,Wells,Wells,Wells College,,,,Coed
30188,Bryn Athyn,Bryn Athyn,Bryn Athyn,Bryn Athyn,Bryn Athyn College,,,4,Coed
15882,Rosemont,Rosemont,Rosemont,Rosemont,Rosemont College,,UEC,4,Coed
1390,Sul Ross,Sul Ross,Sul Ross State,Sul Ross St.,Sul Ross State University,,,,Coed
23121,UT Dallas,UT Dallas,Texas-Dallas,Texas-Dallas,University of Texas at Dallas,,,,Coed
30047,Keystone,Keystone,Keystone,Keystone,Keystone College,Keystone,UEC,4,Coed
1050,Defiance,Defiance,Defiance,Defiance,Defiance College,,,,Coed
30033,Mt Mary,Mt Mary,Mount Mary,Mount Mary,Mount Mary University,,,,Women
4,Adrian,Adrian,Adrian,Adrian,Adrian College,Adrian,MIAA,7,Coed
11324,Agnes Scott,Agnes Scott,Agnes Scott,Agnes Scott,Agnes Scott College,Agnes Scott,CCS,6,Women
2798,Albertus Magnus,Albertus Magnus,Albertus Magnus,Albertus Magnus,Albertus Magnus College,Albertus Magnus,GNAC,1,Coed
15,Albion,Albion,Albion,Albion,Albion College,Albion,MIAA,7,Coed
16,Albright,Albright,Albright,Albright,Albright College,Albright,MACC,5,Coed
18,Alfred,Alfred,Alfred,Alfred,Alfred University,Alfred,E8,3,Coed
30170,Alfred St.,Alfred St,Alfred State,Alfred St.,Alfred State College,Alfred State,SUNYAC,3,Coed
19,Allegheny,Allegheny,Allegheny,Allegheny,Allegheny College,Allegheny,PAC,7,Coed
21,Alma,Alma,Alma,Alma,Alma College,Alma,MIAA,7,Coed
938,Alvernia,Alvernia,Alvernia,Alvernia,Alvernia University,Alvernia,MACC,5,Coed
28746,Alverno,Alverno,Alverno,Alverno,Alverno College,Alverno,C2C,8,Women
24,Amherst,Amherst,Amherst,Amherst,Amherst College,Amherst,NESCAC,1,Coed
939,Anderson,Anderson IN,Anderson,Anderson (IN),Anderson University (Indiana),Anderson,HCAC,8,Coed
966,Arcadia,Arcadia,Arcadia,Arcadia,Arcadia University,Arcadia,MACF,4,Coed
30243,Asbury,Asbury,Asbury,Asbury,#Asbury University (active 2024-25),Asbury,CCS,6,Coed
38,Augsburg,Augsburg,Augsburg,Augsburg,Augsburg University,Augsburg,MIAC,9,Coed
40,Augustana,Augustana IL,Augustana,Augustana (IL),Augustana College (Illinois),Augustana,CCIW,8,Coed
42,Aurora,Aurora,Aurora,Aurora,Aurora University,Aurora,NACC,8,Coed
953,Austin College,Austin Col,Austin,Austin,Austin College,Austin,SCAC,10,Coed
30253,Carlow,Carlow,Carlow,Carlow,,,AMCC,7,Coed
44,Averett,Averett,Averett,Averett,Averett University,Averett,ODAC,6,Coed
45,Babson,Babson,Babson,Babson,Babson College,Babson,NEWMAC,2,Coed
46,Baldwin Wallace,Baldwin-Wallace,Baldwin Wallace,Baldwin Wallace,Baldwin Wallace University,Baldwin Wallace,OAC,7,Coed
962,Bard,Bard,Bard,Bard,Bard College,Bard,LL,3,Coed
58,Baruch,Baruch,Baruch,Baruch,Baruch College,Baruch,CUNYAC,4,Coed
50,Bates,Bates,Bates,Bates,Bates College,Bates,NESCAC,1,Coed
